Sentence,Countries
"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary.","['France', 'Austria']"
"In 1917, Russia ended hostile actions against the Central Powers after the fall of the Tsar.",['Russia']
"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia.","['Germany', 'Russia']"
"In the treaty, Bolshevik Russia ceded the Baltic states to Germany, and its province of Kars Oblast in the South Caucasus to the Ottoman Empire.",['Germany']
It also recognized the independence of Ukraine.,['Ukraine']
"Although Germany shifted huge forces from the eastern to the western front after signing the treaty, it was unable to stop the Allied advance, especially with the entrance of American troops in 1918.",['Germany']
"Germany was never occupied by Allied troops, yet it had to accept a liberal democratic government imposed on it by the victors after the abdication of Kaiser Wilhelm.",['Germany']
Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.,['Italy']
"When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy.","['Germany', 'Germany']"
"The Nazi Party in Germany was dedicated to the restoration of German honor and prestige, the unification of German-speaking peoples, and the annexation of Central and Eastern Europe as vassal states, with the Slavic population to act as slave labor to serve German economic interests.",['Germany']
They could see nothing wrong with a strong Germany ready to take on the communist menace to the east.,['Germany']
"Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938.","['Austria', 'Austria', 'Germany']"
Spain also became a dictatorship under the leadership of General Francisco Franco after the Spanish Civil War.,['Spain']
"Soon after the events in Czechoslovakia, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list.","['France', 'Poland']"
"World War II officially began on 1 September 1939, when Hitler unleashed his Blitzkrieg, or lightning war, against Poland.",['Poland']
"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible.","['France', 'Germany', 'Poland']"
"Sixteen days later, Poland was attacked from the East by Soviet Union, acting in a secret alliance with Nazi Germany.",['Poland']
"As Hitler's forces conquered Poland, the Soviet Union, under General Secretary Joseph Stalin, was acting out guarantees of territory under a secret part of a nonaggression pact between the USSR and Germany known as the MolotovRibbentrop Pact.","['Poland', 'Germany']"
"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war.","['Estonia', 'Latvia', 'Lithuania']"
"Stalin also launched an attack on Finland, which he hoped to reduce to little more than a Soviet puppet state, but the Red Army met staunch Finnish resistance in what became known as the Winter War and succeeded in gaining only limited territory from the Finns.",['Finland']
This action would later cause the Finns to ally with Germany when its attack on the Soviet Union came in 1941.,['Germany']
"After the defeat of Poland, a period known as the Phony War ensued during the winter of 19391940, which saw only limited military land operation on the Western Front.",['Poland']
"This changed when Hitler occupied Denmark and Norway, beginning on 9 April 1940.","['Denmark', 'Norway']"
Norway was strategically important because of its sea routes which supplied crucial Swedish ore to the Nazi war machine.,['Norway']
"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours.","['Norway', 'Denmark']"
"Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies.","['Sweden', 'Germany']"
"On the 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg), likely to surmount the Maginot Line of defenses on the Franco-German border.","['Netherlands', 'Luxembourg']"
"The worst of this was that King Leopold III of Belgium surrendered to the Germans on 28 May without warning his allies, exposing the entire flank of the Allied forces to German panzer groups.",['Belgium']
"With the disaster in the Low Countries, France, considered at the time to have had the finest army in the world, lasted only six weeks, with Paris being occupied on 14 June.",['France']
"The debacle in France also led to one of the war's greatest mysteries, and Hitler's first great blunder, Dunkirk, where a third of a million trapped British and French soldiers were evacuated by not only British war boats, but every craft the army could find, including fishing boats.",['France']
"Hitler did not occupy all of France, but about three-quarters, including all of the Atlantic coast, allowing Marshal Ptain to remain as dictator of an area known as Vichy France.",['France']
"However, members of the escaped French Army formed around General Charles de Gaulle to create the Free French forces, which would continue to battle Hitler in the stead of an independent France.",['France']
"At this moment, Italy, under Benito Mussolini, declared war on the Allies on 10 June, thinking that the war was almost over, but he managed only to occupy a few hundred yards of French territory.",['Italy']
"Throughout the war, the Italians would be more of a burden to the Nazis than a boon, and would later cost them precious time in Greece.",['Greece']
"The British at first suffered steady losses, but eventually managed to turn the air war against Germany, taking down 2,698 German planes throughout the summer of 1940 to only 915 Royal Air Force (RAF) losses.",['Germany']
"However, a pro-allied coup in Yugoslavia and Mussolini's almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time.","['Greece', 'Albania', 'Greece']"
"Throughout 1941, German forces, divided into 3 army groups (Army Group A, Army Group B, and Army Group C), occupied the territories of the present day Ukraine and Belarus, laid siege to Leningrad (present day Saint Petersburg), and advanced to within 15 miles of Moscow.","['Ukraine', 'Belarus']"
Mussolini had launched an offensive in North Africa from Italian-controlled Libya into British-controlled Egypt.,"['Libya', 'Egypt']"
"However, the British smashed the Italians and were on the verge of taking Libya.",['Libya']
Rommel managed to use his small force to repeatedly smash massively superior British forces and to recapture the port city of Tobruk and advance into Egypt.,['Egypt']
"However, Hitler, embroiled in his invasion of the Soviet Union, refused to send Rommel any more troops, causing Rommel to retreat and preventing him from seizing the Middle East, where Axis-friendly regimes had taken root in Iraq and Persia (present-day Iran).","['Iraq', 'Iran']"
"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didn't bind Germany to do so.","['Japan', 'Germany']"
"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia.","['Japan', 'Russia']"
Both Germany and Italy declared war on the United States a few days after the attack.,"['Germany', 'Italy']"
"By this time, Rommel had been forced to abandon North Africa after a defeat by Montgomery at El Alamein in what was the first decisive victory of the Allies over the Germany army, leading Churchill to declare it ""the end of the beginning"".",['Germany']
"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942.","['Morocco', 'Algeria']"
"Then, on 10 July 1943, the Allies invaded Sicily, in preparation for an advance through Italy, the ""soft underbelly"" of the Axis, as Winston Churchill called it.",['Italy']
"On 9 September, the invasion of Italy began.",['Italy']
"By the winter of 1943, the southern half of Italy was in Allied hands.",['Italy']
"On 8 September, the Italians formally surrendered, but most of Italy not in Allied hands was controlled by German troops and those loyal to Mussolini's (Mussolini had been freed by German paratroopers) new Italian Social Republic, which in reality consisted of the shrinking zone of German control.",['Italy']
"Rommel, who was now in charge of defending France against possible Allied attack, thought the Allies would not attack during the stormy weather, and was on holiday in Germany.","['France', 'Germany']"
"By this time, the war was looking ever darker for Germany.",['Germany']
"In France, the Allies took Normandy and finally Paris on 25 August.",['France']
"The west went to Britain, France, and the U.S.
Post-war Germany would be split between the four, as would Berlin.","['France', 'Germany']"
"The Soviets launched a devastating attack from Poland into Germany and Eastern Europe, intending to take Berlin.","['Poland', 'Germany']"
"The Germans collapsed in the West, allowing the Allies to fan out across Germany.",['Germany']
"However, the Supreme Allied Commander, American general Dwight D.
Eisenhower, refused to strike for Berlin, and instead became obsessed with reports of possible guerrilla activity in southern Germany, which in reality existed mainly in the propaganda of Joseph Goebbels.",['Germany']
Japan then used this as pretext to invade northeastern China the next day and turn the region of Manchuria into the Japanese puppet state of Manchukuo.,"['Japan', 'China']"
"After the League of Nations commissioned the 1932 Lytton Report, which exposed the Mukden Incident as a Japanese ruse, Japan was left internationally isolated, withdrawing from the League of Nations in March 1933.",['Japan']
"In 1934 Manchukuo became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne, despite the real power being held by Japan.",['Japan']
"Despite relations between Japan and China suffering because the occupation of Manchuria, the situation did not turn into all-out war until 7 July 1937, when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident.","['Japan', 'China']"
"Japan enjoyed some early major victories, capturing both Shanghai and the Chinese capital of Nanjing in 1937 and forcing the Chinese central government 's relocation to Chongqing.",['Japan']
"Following Chinese victories in Changsha and Guangxi in 1939, the war reached somewhat of a stalemate, with Japan controlling the large cities, but being unable to rule the vast countryside.",['Japan']
"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy.","['Japan', 'Germany', 'Italy']"
"On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the U.S.
Pacific Fleet from interfering with its planned expansion in the area.",['Japan']
"The next day, following Roosevelt's Infamy Speech, the United States declared war on Japan, marking the official entry of both nations in World War 2.",['Japan']
"At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines.","['Japan', 'Thailand', 'Singapore', 'Hong Kong', 'Guam', 'Philippines']"
"Japan managed to capture British Burma, New Guinea, the Dutch East Indies, the Solomon Islands, Bali and Timor.",['Japan']
"In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia.","['Philippines', 'Australia']"
"On 19 February 1942, Japan also launched a devastating aerial attack on the Australian city of Darwin, in what was the first attack by a foreign power on Australian soil.",['Japan']
"The losses suffered during this Battle of Midway, paired with the campaign of attrition that was taking place in Solomon Islands, left Japan unable to replenish its forces and turned the tides of war against it.","['Solomon Islands', 'Japan']"
"Over the next two years the Allies slowly captured one island base after another, trying to get closer to Japan itself, where it planned to launch massive strategic air attacks and, only if absolutely necessary, execute a ground invasion.",['Japan']
"By July 1944, the US recaptured Guam and captured Tinian, which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers.","['Guam', 'Japan']"
"Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers.","['India', 'Japan']"
"Capturing the island meant not only a better launch station for aerial attacks against mainland Japan, but also the prevention of its use as an early-warning station against air raids.",['Japan']
"With Japan struggling to defend the homeland islands, counteroffensives in other parts of the Japanese Empire became more feasible, with important battles taking place in Burma, Borneo and China.","['Japan', 'China']"
"The assaults on both Iwo Jima and Okinawa proved incredibly costly in terms of American lives and president Truman was horrified at the prospect of Operation Downfall, a planned boots-on-the-ground invasion of mainland Japan that was estimated to lead to over a million casualties among American soldiers.",['Japan']
"Following the Potsdam Declaration of 26 July, where the Allies threatened ""prompt and utter destruction"" should Japan not surrender, the decision was made to resort to the first use of atomic bombs.",['Japan']
"After the conquest of Poland, the Third Reich, which had previously deported Jews and other ""undesirables"", suddenly had within its borders the largest concentration of Jews in the world.",['Poland']
"The Nazis created a system of extermination camps throughout Poland, and began rounding up Jews from the Soviet Union, and from the Ghettos.",['Poland']
"However, Germany had surrendered in May 1945, and it had been discovered that the German atomic bomb program had not been very close to success.",['Germany']
This new weapon was alone over 400 times as powerful as the weapons used against Japan.,['Japan']
"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.","['Russia', 'France', 'China', 'India', 'Pakistan', 'Israel', 'North Korea']"
"South Africa developed six crude weapons in the 1980s (which it later dismantled), and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.","['South Africa', 'Israel']"
"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.","['Libya', 'Iran']"
"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union.","['Germany', 'France']"
"Japan was also placed under U.S.
occupation, that would last seven years, until 1952.",['Japan']
"Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (West Germany)",['Japan']
"In India, Mahatma Gandhi became a global icon for his non-violent struggle to achieve Indian independence whereas Mohamed Ali Jinnah advocated for the independence of a separate state for Muslims.",['India']
"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971.","['India', 'India', 'Pakistan']"
"Elsewhere in Asia, The United States granted independence to the Philippines, its major Pacific possession in 1946.",['Philippines']
"In French Indochina, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam.","['Laos', 'Cambodia', 'Vietnam']"
"In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule.","['Kenya', 'Ghana']"
"Between 1956 and 1962, almost 20 African countries achieved their independence from France.",['France']
"Eastern Poland (incorporated into the Byelorussian SSR and the Ukrainian SSR), Latvia (which became the Latvian SSR), Estonia (which became the Estonian SSR), Lithuania ( which became the Lithuanian SSR), part of eastern Finland (which became the Karelo-Finnish SSR) and eastern Romania (part of which became the Moldavian SSR) were now wholly part of Soviet Union.","['Latvia', 'Estonia', 'Lithuania', 'Finland', 'Romania']"
"Furthermore, between 1945 and 1949, Yugoslavia, Albania, Bulgaria, Poland, Romania, Czechoslovakia, Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics.","['Albania', 'Bulgaria', 'Poland', 'Romania', 'Hungary']"
"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North Korea, Cuba and Vietnam.","['Mongolia', 'China', 'North Korea', 'Cuba', 'Vietnam']"
"The first war was the Korean War, fought between People's Republic of China-backed North Korea and mainly United States-backed South Korea.","['North Korea', 'United States', 'South Korea']"
North Korea's invasion of South Korea on 25 June 1950 led to United Nations intervention.,['South Korea']
"General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion.","['Canada', 'Australia']"
"After the French withdrawal from its former colony, on 21 July 1954, Vietnam became partitioned into two halves, much like Korea, along the 17th parallel.",['Vietnam']
"The plan went awry, with Nixon deliberately sabotaging peace talks for political gain, and the war spilled into neighboring Cambodia while South Vietnamese forces were pushed further back.",['Cambodia']
"Saigon was captured on 30 April 1975, and Vietnam was unified under Communist rule a year later, effectively bringing an end to one of the most unpopular wars of all time.",['Vietnam']
"Cuba, under Fidel Castro's socialist government, had formed close ties with the Soviet Union.",['Cuba']
"This was obviously disquieting to the United States, given Cuba's proximity.",['Cuba']
"With Cold War tensions running high, the Soviet Union and United States took their rivalry to the stars in 1957 with the Soviet launch of Sputnik.",['United States']
"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada.","['Russia', 'Japan', 'Canada']"
"Mikhail Gorbachev, its last leader, attempted to reform the country with glasnost and perestroika, but the formation of Solidarity, the fall of the Berlin Wall, and the breaking-off of several Soviet republics, such as Lithuania, started a slippery slope of events that culminated in a coup to overthrow Gorbachev, organized by Communist Party hard-liners.",['Lithuania']
"Boris Yeltsin, president of Russia, organized mass opposition, and the coup failed.",['Russia']
"China, an ancient nation comprising a fifth of the world's population, was finally open to the world in a new and powerful synthesis of West and East, creating a new state after the near-complete destruction of the old cultural order.",['China']
"The influence of China and India was also rising, as the world's largest populations, long marginalized by the West and by their rulers, were rapidly integrating with the world economy.","['China', 'India']"
"Meanwhile in South Africa, the apartheid came to an end and Nelson Mandela became the nation's first black president, leading to the formation of a new democratic government, after having been ruled for four and a half decades of systemised racial segregation.",['South Africa']
"In Rwanda, an estimated one million people were massacred in the genocide, which included targets of Tutsis and moderate Hutu and Twa people.",['Rwanda']
Despots such as Kim Jong-il of North Korea continued to lead their nations toward the development of nuclear weapons.,['North Korea']
